Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-07-28,12169,1395,5945,7072,667,2672,17341,2511,6964,19509,10411,26816
2020-07-29,9461,1074,3581,12089,994,4570,7940,730,3608,14116,17653,12278
2020-07-30,18488,2775,5606,22475,1442,10458,7910,1009,4240,26869,34375,13159
2020-07-31,22273,2558,8567,14369,1264,6884,20943,1594,7642,33398,22517,30179
2020-08-01,9090,955,3258,15210,882,6936,19522,1712,6753,13303,23028,27987
2020-08-02,6864,1085,3042,10229,1694,3507,3562,437,1650,10991,15430,5649
2020-08-03,15585,1312,6982,7543,899,3724,12936,1010,10357,23879,12166,24303
2020-08-04,8043,1091,3422,20466,999,5570,13913,1193,4598,12556,27035,19704
2020-08-05,12001,1346,5257,4871,821,1707,6413,749,1991,18604,7399,9153
2020-08-06,17607,2592,6327,16822,2195,5853,5802,1069,2168,26526,24870,9039
2020-08-07,42206,3331,13829,15932,1576,5437,23190,3115,9042,59366,22945,35347
2020-08-08,30836,2781,9305,12553,1429,3814,9387,1241,3362,42922,17796,13990
2020-08-09,17202,1934,6059,22863,1475,7728,34223,832,6705,25195,32066,41760
2020-08-10,21446,4301,6009,26492,2513,9496,11532,1541,4363,31756,38501,17436
2020-08-11,13322,2573,4590,19139,1795,6767,11174,1482,4672,20485,27701,17328
2020-08-12,32591,3669,10289,49148,3951,14050,15627,2276,5591,46549,67149,23494
2020-08-13,22490,2986,8499,14141,1876,4963,13655,2371,6941,33975,20980,22967
2020-08-14,20001,1913,6859,12645,1366,4082,65349,1472,11060,28773,18093,77881
2020-08-15,25036,2507,7293,9817,1273,3641,7292,804,4526,34836,14731,12622
2020-08-16,18089,2136,5656,13060,1545,4911,11916,1507,4685,25881,19516,18108
2020-08-17,30852,2385,9187,27880,3047,9703,12274,1760,5086,42424,40630,19120
2020-08-18,17632,1914,5470,17705,1794,5470,11958,1202,5799,25016,24969,18959
2020-08-19,32318,3149,9351,18651,2487,6287,13653,1602,6107,44818,27425,21362
2020-08-20,25183,2675,7971,18678,1675,7999,14189,1931,5300,35829,28352,21420
2020-08-21,28171,3318,8717,21529,2645,8143,17676,3051,7272,40206,32317,27999
2020-08-22,27838,2322,10134,26153,1583,6522,12082,1095,4272,40294,34258,17449
