Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2020-09-21,6316,416,1673,2079,232,689,3582,123,832,11977,771,3194
2020-09-22,10639,551,2653,5782,457,1998,1736,140,628,18157,1148,5279
2020-09-23,3939,503,770,1227,203,219,1756,145,456,6922,851,1445
2020-09-24,5474,363,1207,2583,170,444,886,104,181,8943,637,1832
2020-09-25,30009,408,4198,3444,246,955,959,77,300,34412,731,5453
2020-09-26,1980,264,387,1663,250,335,359,58,75,4002,572,797
2020-09-27,4217,405,1034,1741,168,163,633,69,99,6591,642,1296
2020-09-28,6822,401,1367,1649,153,425,2521,280,436,10992,834,2228
2020-09-29,2379,267,583,1778,127,330,500,84,57,4657,478,970
2020-09-30,4452,307,987,2678,324,377,706,95,306,7836,726,1670
